JUN	RHOB	-
PTGS2	AGT	-
PTGS2	HPGD	-
IL10	IL6	-
FOS	IL4	-
IL10	PDE4B	-
IL6	CCND1	-
FN1	GAS1	-
CCND1	SFRP1	-
IL4	CCND1	-
PTGS2	IGF1	-
ATP2A2	IL6	-
PTGS2	F3	-
CDKN2A	CCND1	-
MMP7	JUND	-
FOXC1	MMP7	-
CAMK2G	FOS	-
JUN	FOS	-
CDKN2A	CBX7	-
VHL	CCND1	-
F2R	CDH1	-
ZEB1	CDH13	-
CAV1	CCND1	-
TPM1	FGF2	-
IL6	IL4	-
CXCR4	NOS3	-
BGN	FGF2	-
IL10	F3	-
FHL2	CDH1	-
MAPK8	GJA1	-
AGT	NOS3	-
IL6	ANXA1	-
PTGS2	RARB	-
AGT	IL6	-
PTGS2	CDH1	-
STAT1	FOS	-
BDNF	ADRB2	-
IL6	NR3C1	-
PDLIM7	CDH1	-
ID1	CDKN2A	-
IL10	PTGS2	-
ID1	KLK3	-
SERPINF2	F13A1	0
NCOA3	NR4A1	0
ADRB2	SLC9A3R1	0
DLG3	ATP2B4	0
FN1	FGG	0
WWTR1	TEAD4	0
CALM3	IQGAP2	0
JUNB	JUND	0
TPM3	MYL1	0
F2R	EDNRA	0
DMD	TTN	0
CKS2	CCNB2	0
ZWINT	BUB1	0
KRT18	DSP	0
KRT18	SVIL	0
IGF1	FGF2	0
TPM2	RRAD	0
GAS6	SERPING1	0
ACTN1	CLU	0
MAPK8	JUND	0
FGFR1OP	STAT1	0
AR	FLNA	0
PBX1	NR3C1	0
CCND1	CRYAB	0
FERMT2	ACTA2	0
NR4A2	NR1H2	0
F2RL1	ANXA1	0
FN1	GAPDH	0
TNNC2	TPM2	0
CD3D	NR3C1	0
SHBG	PLP2	0
LPAR1	F2RL1	0
PTGS2	GSK3B	0
PPP3CA	PPP3CB	0
MAPK8	DUSP1	0
ACTN1	ILK	0
CFD	GAS6	0
TFDP2	CCND1	0
TCF21	CRYAB	0
AR	RLN1	0
SERPINF2	CLU	0
DMD	TPM2	0
COL4A6	COL11A1	0
FOS	CDK1	0
DLG3	CALM3	0
PDLIM7	STAT2	0
PROS1	LTF	0
BAX	SH3GLB1	0
CCK	EDNRA	0
CCL5	VCAN	0
KIF3A	KIF5B	0
ATP2A2	SLN	0
FGFR2	PAK4	0
DPYSL3	PALLD	0
ABL1	PLSCR1	0
IGK@	CFD	0
GSN	SEMG1	0
GPR162	LTF	0
ZYX	VHL	0
ILK	NCK2	0
TPM3	TTN	0
ATF6	NFYA	0
NCOA3	FOS	0
COL4A6	COL6A2	0
SYCP1	HSPA2	0
CXCL2	CCL21	0
NCOA3	CCND1	0
MYH11	LMOD1	0
AR	ERBB3	0
STAT1	IL6ST	0
SNAP23	YKT6	0
IL6ST	OSMR	0
IGF1	NCK2	0
DMD	MYBPC1	0
ANGPT1	ITGA5	0
OCLN	PLSCR1	0
STAT1	IGF1	0
TPM3	MYBPC1	0
PTRF	TFF1	0
PROS1	FN1	0
ITGA5	ITGB4	0
FGB	ITGA5	0
LRIG1	ERBB3	0
RBPMS	PITX1	0
MYLK	MYL2	0
TPM2	MYL3	0
ACTA1	IL6	0
KRT18	KRT15	0
MYOM1	MYLPF	0
SFPQ	NR3C1	0
TPM3	ACTA1	0
DES	MYL3	0
SMAD3	ANPEP	0
UBE2C	CDC20	0
PTTG1	CDH1	0
SRGAP2	SLC25A12	0
ACTN1	PALLD	0
ACTA1	TPM2	0
GPC4	CSPG4	0
CDC20	MAD2L1	0
CYR61	PTGS2	0
CACNA1D	CACNA1C	0
SHBG	DES	0
MYBPC1	MYL1	0
NR4A2	VDR	0
FGFR1	FGF2	0
TPM2	PDLIM7	0
FGA	NID1	0
TPM1	TMOD1	0
PLN	CAMK2G	0
CAMK2G	NOS3	0
DYNC1I2	DYNC1I1	0
FN1	ANPEP	0
JUNB	FOSB	0
MTF2	EZH2	0
BIN1	CACNA1C	0
FN1	PF4	0
CLU	ALB	0
MX1	TRPC1	0
CDK1	BUB1B	0
KIF3A	CALM3	0
HIST2H4B	IL6	0
JUN	MAZ	0
DST	SPAG5	0
AR	NCOA3	0
TGFB1I1	TRAF4	0
